City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,itaituba,-4.2761,-55.9836,23.64,99,100,0.85,BR,1683798142
82,greenville,35.6127,-77.3663,25.09,54,0,4.63,US,1683799686
83,kuching,1.55,110.3333,30.01,81,20,0.0,MY,1683844174
84,ilabaya,-17.4208,-70.5133,19.83,55,96,0.28,PE,1683802680
85,udachny,66.4167,112.4,1.92,69,100,6.6,RU,1683831675
86,serra san bruno,38.5754,16.3244,9.81,91,37,1.96,IT,1683863173
87,kangaba,11.9333,-8.4167,31.89,15,93,0.24,ML,1683871841
88,stephenville,32.2207,-98.2023,31.19,57,40,3.6,US,1683805086
89,rondonopolis,-16.4708,-54.6356,24.26,68,95,0.44,BR,1683798789
90,sao paulo de olivenca,-3.3783,-68.8725,22.67,99,92,0.05,BR,1683801166
91,ulaangom,49.9811,92.0667,12.47,51,67,0.36,MN,1683843072
92,klyuchi,52.2667,79.1667,8.81,75,92,3.64,RU,1683845645
93,konstantinovka,49.6167,127.9833,19.99,29,100,6.18,RU,1683834538
94,georgetown,5.4112,100.3354,27.96,93,20,1.54,MY,1683846271
95,aswan,24.0934,32.907,30.61,11,0,2.06,EG,1683860845
96,cidreira,-30.1811,-50.2056,16.85,74,65,4.11,BR,1683798977
97,mount pearl,47.5166,-52.7813,5.25,59,25,1.34,CA,1683791982
98,badger,64.8,-147.5333,16.11,44,75,4.63,US,1683808891
99,utrik,11.2278,169.8474,27.3,80,64,7.59,MH,1683829123
100,hasaki,35.7333,140.8333,20.12,50,15,3.9,JP,1683833682
101,sao joao do piaui,-8.3581,-42.2467,27.06,55,82,0.99,BR,1683795163
102,wynyard,-41.0,145.7167,13.32,83,95,3.0,AU,1683839651
103,ribeira grande,38.5167,-28.7,16.54,84,10,1.79,PT,1683873980
104,lazaro cardenas,17.9583,-102.2,28.69,70,86,4.7,MX,1683807451
105,port macquarie,-31.4333,152.9167,19.94,65,4,1.35,AU,1683836776
106,nouadhibou,20.931,-17.0347,18.99,94,52,7.72,MR,1683873126
107,masina,-4.3836,15.3914,28.16,74,76,0.0,CD,1683867424
108,new norfolk,-42.7826,147.0587,14.95,69,100,1.4,AU,1683839580
109,howrah,22.5892,88.3103,28.0,83,75,2.57,IN,1683847697
110,alliance,40.9153,-81.1059,24.78,64,14,1.14,US,1683799869
111,fale old settlement,-9.3852,-171.2468,28.76,77,83,6.08,TK,1683912617
112,jamestown,42.097,-79.2353,21.8,32,0,2.06,US,1683799244
113,saint-pierre,-21.3393,55.4781,22.82,68,0,3.09,RE,1683859195
114,champerico,14.3,-91.9167,28.3,67,3,5.09,GT,1683805297
115,makurdi,7.7411,8.5121,29.1,66,56,3.62,NG,1683868120
116,ushuaia,-54.8,-68.3,9.81,62,75,5.66,AR,1683807091
117,rio grande,-32.035,-52.0986,17.06,66,42,4.59,BR,1683799625
118,saquarema,-22.92,-42.5103,21.93,80,97,3.05,BR,1683796435
119,adre,13.4667,22.2,26.9,48,97,3.54,TD,1683864367
120,souk ahras,36.2864,7.9511,12.52,96,92,0.88,DZ,1683865485
121,nemuro,43.3236,145.575,5.48,72,4,1.7,JP,1683831472
122,dumfries,38.5676,-77.328,23.33,64,0,1.54,US,1683799293
123,qarqaraly,49.4058,75.4742,11.88,68,100,4.1,KZ,1683847172
124,bulgan,48.8125,103.5347,3.18,78,32,1.86,MN,1683840566
125,choibalsan,48.0667,114.5,8.44,35,99,8.84,MN,1683838085
126,broken hill,-31.95,141.4333,16.42,37,33,2.03,AU,1683839588
127,labrador city,52.9463,-66.9114,11.95,28,20,3.6,CA,1683794198
128,dwarka,22.2394,68.9678,28.67,72,0,5.68,IN,1683852370
129,san antonio de pale,-1.4014,5.6325,27.99,81,96,6.18,GQ,1683869533
130,port mathurin,-19.6833,63.4167,25.57,75,78,9.32,MU,1683857144
131,haiku-pauwela,20.9219,-156.3051,28.01,45,40,9.26,US,1683820168
132,hamilton,39.1834,-84.5333,27.97,52,0,2.57,US,1683800937
133,verkhneural'sk,53.8769,59.2106,6.02,50,96,3.09,RU,1683850023
134,tash-kumyr,41.3461,72.2171,20.86,25,100,2.86,KG,1683849371
135,wang nam yen,13.5033,102.1812,26.84,78,72,2.17,TH,1683845172
136,goba,7.0167,39.9833,9.56,92,52,2.03,ET,1683860626
137,intendente alvear,-35.2338,-63.592,13.87,58,24,3.88,AR,1683802739
138,port elizabeth,-33.918,25.5701,16.17,97,100,8.75,ZA,1683867626
139,timaru,-44.4,171.25,15.04,63,95,2.45,NZ,1683834012
140,rincon,32.296,-81.2354,23.24,73,40,7.2,US,1683801008
